Station Name,Country,Stream URL,Timestamp,Duration (s),File Path
2B!_Radio_Sangam_Krishna,India,http://millenniumhits.out.airtime.pro:8000/millenniumhits_a,2025-03-06 19:53:20,45.0,/Users/user/Downloads/radio_recordings/2B!_Radio_Sangam_Krishna_20250306_195320.mp3
2B!_Radio_Sangam_Ganesha,India,http://radio2bindia.out.airtime.pro:8000/radio2bindia_a,2025-03-06 19:52:08,45.0,/Users/user/Downloads/radio_recordings/2B!_Radio_Sangam_Ganesha_20250306_195208.mp3
	Radio_Margherita_,Italy,https://streaming.radiomargherita.com/stream/radiomargherita,2025-03-06 20:03:16,45.0,/Users/user/Downloads/radio_recordings/	Radio_Margherita__20250306_200316.mp3
	Radio_Bruno_Pentasport_Fiorentina,Italy,https://stream3.xdevel.com/audio6s975355-281/stream/icecast.audio,2025-03-06 20:02:00,45.0,/Users/user/Downloads/radio_recordings/	Radio_Bruno_Pentasport_Fiorentina_20250306_200200.mp3
2B!_Radio_Sangam_Devi_Maa,India,http://ibadat.out.airtime.pro:8000/ibadat_a,2025-03-06 19:51:30,45.0,/Users/user/Downloads/radio_recordings/2B!_Radio_Sangam_Devi_Maa_20250306_195130.mp3
2B!_Radio_Sangam_Guruvar,India,http://iskon2b.out.airtime.pro:8000/iskon2b_a,2025-03-06 19:52:43,45.0,/Users/user/Downloads/radio_recordings/2B!_Radio_Sangam_Guruvar_20250306_195243.mp3
_Chill_trax_,United States of America,http://server1.chilltrax.com:9000/;,2025-03-06 19:59:29,45.0,/Users/user/Downloads/radio_recordings/_Chill_trax__20250306_195929.mp3
_90.7_FM_KWMU-1,United States of America,https://kwmu1-ice.streamguys1.com/kwmu1.m3u,2025-03-06 19:58:51,45.0,/Users/user/Downloads/radio_recordings/_90.7_FM_KWMU-1_20250306_195851.mp3
_iHeart_Radio_Café,United States of America,http://n40b-e2.revma.ihrhls.com/zc6951/hls.m3u8?rj-ttl=5&rj-tok=AAABlWu45WYAfLGYSNgcat3ILg,2025-03-06 20:01:32,45.0,/Users/user/Downloads/radio_recordings/_iHeart_Radio_Café_20250306_200132.mp3
_Antenna_Web_Assisi,Italy,https://italiavera.radioca.st/stream?type=http&nocache=296,2025-03-06 20:07:09,45.0,/Users/user/Downloads/radio_recordings/_Antenna_Web_Assisi_20250306_200709.mp3
	Radio_Capital,Italy,https://StreamCdnB1-4c4b867c89244861ac216426883d1ad0.msvdn.net/radiocapital/radiocapital/master_ma.m3u8,2025-03-06 20:02:33,45.0,/Users/user/Downloads/radio_recordings/	Radio_Capital_20250306_200233.mp3
_#_100_NU-DISCO_CENTRAL_RADIO,Italy,https://stream-176.zeno.fm/jqhhzffjynbuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJqcWhoemZmanluYnV2IiwiaG9zdCI6InN0cmVhbS0xNzYuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6Ijh1TUhPbHNQUkMyMENmVnR1ellucWciLCJpYXQiOjE3NDEyNDY2MDMsImV4cCI6MTc0MTI0NjY2M30.jZL2_JDzTKX2nDFSmm9CqiqO0KkeaUNMFf0nolsCBfo,2025-03-06 20:04:01,45.0,/Users/user/Downloads/radio_recordings/_#_100_NU-DISCO_CENTRAL_RADIO_20250306_200401.mp3
_101.9_KQXT_,United States of America,https://n47b-e2.revma.ihrhls.com/zc2341/hls.m3u8?rj-ttl=5&rj-tok=AAABlWfAbskAzzwPqQsYD-tMBw,2025-03-06 19:58:17,45.0,/Users/user/Downloads/radio_recordings/_101.9_KQXT__20250306_195817.mp3
_50s_60s_RETRO_HITS,Italy,https://stream-159.zeno.fm/pxzwykxbluitv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJweHp3eWt4Ymx1aXR2IiwiaG9zdCI6InN0cmVhbS0xNTkuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6IjhZMmpjTk84UnRPT0NsTUZpTEpQcnciLCJpYXQiOjE3NDEyNzAxNzEsImV4cCI6MTc0MTI3MDIzMX0.gu5lMrrfk3OXiFcGtS5h07RY1JUMMjpZqnyvB0l7wUw,2025-03-06 20:04:41,45.0,/Users/user/Downloads/radio_recordings/_50s_60s_RETRO_HITS_20250306_200441.mp3
__EXA_FM:_POP_MUSIC_in_Spanish_and_English,United States of America,https://18813.live.streamtheworld.com:443/XHPSFMAAC.aac,2025-03-06 19:57:38,45.0,/Users/user/Downloads/radio_recordings/__EXA_FM:_POP_MUSIC_in_Spanish_and_English_20250306_195738.mp3
_Hip_Hop_Workout_Radio,United States of America,https://n12b-e2.revma.ihrhls.com/zc7785?rj-ttl=5&rj-tok=AAABlWkkwocAWGUp76LQeB1VQA,2025-03-06 20:00:49,45.0,/Users/user/Downloads/radio_recordings/_Hip_Hop_Workout_Radio_20250306_200049.mp3
4lobos_bollywood_radio,India,http://puma.streemlion.com:4130/stream,2025-03-06 19:56:21,45.0,/Users/user/Downloads/radio_recordings/4lobos_bollywood_radio_20250306_195621.mp3
